,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Luzhou,CN,80.91,broken clouds,28.8724,105.4405,Shijichun Hotel
2,Mae Sai,TH,73.71,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
4,Shingu,JP,78.03,scattered clouds,33.7333,135.9833,Shingu UI Hotel
6,Kota Bahru,MY,78.75,moderate rain,6.1333,102.2386,Grand Riverview Hotel
7,Grimshaw,CA,65.82,few clouds,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
8,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
9,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,Le four à pain
12,New Norfolk,AU,61.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
13,Port Alfred,ZA,61.12,overcast clouds,-33.5906,26.891,The Halyards Hotel
14,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Saint-Leu,RE,68.86,broken clouds,-21.15,55.2833,La Caz Oceane
20,San Patricio,US,77.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
21,Hobart,AU,62.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
22,Atuona,PF,77.02,clear sky,-9.8,-139.0333,Villa Enata
24,Griffith,US,60.66,clear sky,41.5284,-87.4237,Apartment above Depot Bar
25,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Dicabisagan,PH,82.85,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
27,Rikitea,PF,73.54,clear sky,-23.1203,-134.9692,People ThankYou
32,Ribeira Grande,PT,71.98,light rain,38.5167,-28.7,Quinta da Meia Eira
33,East London,ZA,64.08,scattered clouds,-33.0153,27.9116,Tu Casa
34,Ochamchira,GE,63.63,few clouds,42.7121,41.4721,Resort on Papaskiri 76
37,Japura,ID,76.19,light rain,-0.3167,102.35,Rumah mbah Jamah
40,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
41,Oliver,CA,71.51,clear sky,49.1831,-119.5524,Cactus Tree Inn
43,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
44,Traverse City,US,60.87,clear sky,44.7631,-85.6206,Bayshore Resort
47,Nantucket,US,61.14,light rain,41.2835,-70.0995,Jared Coffin House
48,Katsuura,JP,77.2,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
52,Arraial Do Cabo,BR,68.31,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
56,Codrington,AU,60.62,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
57,Hithadhoo,MV,81.34,scattered clouds,-0.6,73.0833,Scoop Guest House
58,Fortuna,US,64.9,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
60,Carnarvon,AU,72.28,clear sky,-24.8667,113.6333,Hospitality Carnarvon
63,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
65,Camana,PE,62.17,scattered clouds,-16.6228,-72.7111,Hostal Morales
66,Tezu,IN,84.97,overcast clouds,27.9167,96.1667,Circuit House
68,Butaritari,KI,82.2,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
69,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
71,Marawi,PH,82.87,overcast clouds,7.9986,124.2928,Derogongan Residence
72,Shetpe,KZ,64.18,overcast clouds,44.1667,52.1167,Нұрберген Абыл
73,Portland,US,82.44,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
