City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Luzhou,CN,28.8724,105.4405,80.91,74,81,2.06,broken clouds
1,Airai,TL,-8.9266,125.4092,73.8,64,41,1.28,scattered clouds
2,Mae Sai,TH,20.4335,99.8762,73.71,99,100,1.07,overcast clouds
3,Port Elizabeth,ZA,-33.918,25.5701,55.31,97,0,3.44,clear sky
4,Shingu,JP,33.7333,135.9833,78.03,59,33,4.85,scattered clouds
5,Castro,BR,-24.7911,-50.0119,56.19,94,0,1.92,clear sky
6,Kota Bahru,MY,6.1333,102.2386,78.75,83,20,1.14,moderate rain
7,Grimshaw,CA,56.1834,-117.6027,65.82,42,20,9.22,few clouds
8,Avarua,CK,-21.2078,-159.775,75.25,57,75,11.5,broken clouds
9,Saint-Philippe,RE,-21.3585,55.7679,69.39,72,54,10.92,broken clouds
10,Northam,GB,51.0333,-4.2167,58.39,93,100,12.84,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,56.75,51,30,2.91,scattered clouds
12,New Norfolk,AU,-42.7826,147.0587,61.72,33,64,7.83,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,61.12,82,88,3.18,overcast clouds
14,Souillac,MU,-20.5167,57.5167,70.18,60,40,9.22,scattered clouds
15,Kodiak,US,57.79,-152.4072,51.31,82,75,3.44,broken clouds
16,Provideniya,RU,64.3833,-173.3,39.63,73,85,14.61,overcast clouds
17,Torbay,CA,47.6666,-52.7314,55.27,90,75,14.97,broken clouds
18,Pershotravneve,UA,51.3929,28.8684,53.37,97,100,6.78,light rain
19,Saint-Leu,RE,-21.15,55.2833,68.86,72,56,6.53,broken clouds
20,San Patricio,US,28.017,-97.5169,77.85,46,0,9.24,clear sky
21,Hobart,AU,-42.8794,147.3294,62.06,52,75,16.11,broken clouds
22,Atuona,PF,-9.8,-139.0333,77.02,74,3,18.05,clear sky
23,Aklavik,CA,68.2191,-135.0107,31.1,92,100,14.83,overcast clouds
24,Griffith,US,41.5284,-87.4237,60.66,78,0,17.27,clear sky
25,Kapaa,US,22.0752,-159.319,84.52,69,20,12.66,few clouds
26,Dicabisagan,PH,17.0818,122.4157,82.85,78,99,6.44,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,73.54,73,0,13.47,clear sky
28,Esperance,AU,-33.8667,121.9,57.92,70,100,17.78,light rain
29,Inuvik,CA,68.3499,-133.7218,31.06,93,100,13.8,overcast clouds
30,Tasiilaq,GL,65.6145,-37.6368,36.7,99,100,5.5,moderate rain
31,Christchurch,NZ,-43.5333,172.6333,54.32,58,75,12.66,broken clouds
32,Ribeira Grande,PT,38.5167,-28.7,71.98,89,99,26.13,light rain
33,East London,ZA,-33.0153,27.9116,64.08,80,49,4.97,scattered clouds
34,Ochamchira,GE,42.7121,41.4721,63.63,63,14,4.27,few clouds
35,Ushuaia,AR,-54.8,-68.3,40.66,60,20,21.85,few clouds
36,Emba,KZ,48.8264,58.1442,46.47,22,99,10.36,overcast clouds
37,Japura,ID,-0.3167,102.35,76.19,93,99,2.13,light rain
38,Dikson,RU,73.5069,80.5464,33.22,98,100,13.0,light snow
39,Adrar,MR,20.5022,-10.0711,78.26,24,2,8.66,clear sky
40,Geraldton,AU,-28.7667,114.6,68.41,49,6,10.36,clear sky
41,Oliver,CA,49.1831,-119.5524,71.51,53,0,4.61,clear sky
42,Punta Arenas,CL,-53.15,-70.9167,41.11,65,0,8.05,clear sky
43,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,13.8,few clouds
44,Traverse City,US,44.7631,-85.6206,60.87,70,0,10.36,clear sky
45,Paamiut,GL,61.994,-49.6678,37.08,65,100,3.62,overcast clouds
46,Khatanga,RU,71.9667,102.5,21.69,96,100,11.05,overcast clouds
47,Nantucket,US,41.2835,-70.0995,61.14,95,100,29.46,light rain
48,Katsuura,JP,35.1333,140.3,77.2,57,66,11.43,broken clouds
49,Hermanus,ZA,-34.4187,19.2345,55.2,82,17,9.84,few clouds
50,Bredasdorp,ZA,-34.5322,20.0403,50.68,90,34,3.85,scattered clouds
51,Tiksi,RU,71.6872,128.8694,21.27,86,100,15.73,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,68.31,86,31,17.25,scattered clouds
53,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,0.0,broken clouds
54,Kruisfontein,ZA,-34.0033,24.7314,53.65,88,47,4.63,scattered clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,16.11,light snow
56,Codrington,AU,-38.2667,141.9667,60.62,72,94,7.49,overcast clouds
57,Hithadhoo,MV,-0.6,73.0833,81.34,70,45,14.52,scattered clouds
58,Fortuna,US,40.5982,-124.1573,64.9,76,79,3.0,broken clouds
59,Yellowknife,CA,62.456,-114.3525,55.92,82,100,17.27,overcast clouds
60,Carnarvon,AU,-24.8667,113.6333,72.28,55,0,11.18,clear sky
61,Cabo San Lucas,MX,22.8909,-109.9124,87.1,65,0,4.61,clear sky
62,Ban Nahin,LA,18.2418,104.2122,79.29,93,100,2.13,light rain
63,Gat,IL,31.61,34.7642,76.41,100,0,1.74,clear sky
64,Tyrma,RU,50.0833,132.1667,41.7,81,100,2.77,overcast clouds
65,Camana,PE,-16.6228,-72.7111,62.17,77,41,9.13,scattered clouds
66,Tezu,IN,27.9167,96.1667,84.97,51,97,1.39,overcast clouds
67,Hami,CN,42.8,93.45,46.0,17,96,2.15,overcast clouds
68,Butaritari,KI,3.0707,172.7902,82.2,75,34,15.35,scattered clouds
69,Ambon,ID,-3.6954,128.1814,84.34,79,20,4.61,few clouds
70,Luderitz,NA,-26.6481,15.1594,57.25,76,0,10.87,clear sky
71,Marawi,PH,7.9986,124.2928,82.87,59,94,1.81,overcast clouds
72,Shetpe,KZ,44.1667,52.1167,64.18,29,98,14.97,overcast clouds
73,Portland,US,45.5234,-122.6762,82.44,44,20,13.8,few clouds
74,Vaini,TO,-21.2,-175.2,78.96,78,40,9.22,scattered clouds
75,Taber,CA,49.8167,-112.1518,62.8,67,5,3.44,clear sky
76,Lavrentiya,RU,65.5833,-171.0,39.09,69,18,13.2,few clouds
77,Norman Wells,CA,65.282,-126.8329,44.64,93,100,21.85,light rain
78,Asau,RO,46.4333,26.4,60.64,74,100,8.88,overcast clouds
79,Camacha,PT,33.0833,-16.3333,67.42,68,20,9.22,few clouds
80,Verkhniye Kigi,RU,55.4083,58.6044,43.52,73,100,3.98,overcast clouds
81,Busselton,AU,-33.65,115.3333,57.07,68,100,16.49,overcast clouds
82,Hasaki,JP,35.7333,140.8333,81.28,59,33,10.42,scattered clouds
83,Faya,SA,18.3851,42.4509,59.11,58,1,1.57,clear sky
84,Orlik,RU,52.5178,99.825,20.26,58,46,3.02,scattered clouds
85,Mopipi,BW,-21.1833,24.8833,66.96,28,0,7.65,clear sky
86,Bluff,NZ,-46.6,168.3333,50.14,62,11,8.37,few clouds
87,Vila Velha,BR,-20.3297,-40.2925,73.35,83,75,4.61,broken clouds
88,Alice Springs,AU,-23.7,133.8833,74.75,23,100,11.5,overcast clouds
89,Troitskoye,RU,52.9821,84.6757,26.74,85,18,4.52,few clouds
90,Vardo,NO,70.3705,31.1107,35.58,93,100,5.75,overcast clouds
91,Port Lincoln,AU,-34.7333,135.8667,65.79,59,100,4.32,overcast clouds
92,Yumen,CN,40.2833,97.2,38.21,20,100,19.98,overcast clouds
93,Greenville,US,35.6127,-77.3663,62.15,94,0,0.0,clear sky
94,Makakilo City,US,21.3469,-158.0858,86.32,61,0,11.5,clear sky
95,Dunedin,NZ,-45.8742,170.5036,47.91,87,100,10.11,overcast clouds
96,Bethel,US,41.3712,-73.414,60.03,70,100,1.99,overcast clouds
97,Araouane,ML,18.9048,-3.5265,82.72,45,100,10.02,overcast clouds
98,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,80,75,10.36,broken clouds
99,Weymouth,US,42.2209,-70.9398,57.7,82,100,10.36,overcast clouds
100,Jamestown,US,42.097,-79.2353,55.02,61,0,10.36,clear sky
101,Fomboni,KM,-12.28,43.7425,74.77,78,15,7.16,few clouds
102,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,84,98,11.45,overcast clouds
103,Upernavik,GL,72.7868,-56.1549,20.61,85,14,4.74,few clouds
104,Kavieng,PG,-2.5744,150.7967,84.43,69,24,9.98,few clouds
105,Ust-Tsilma,RU,65.441,52.1498,40.17,95,100,3.62,overcast clouds
106,Albany,US,42.6001,-73.9662,57.87,69,21,7.31,few clouds
107,Nikolskoye,RU,59.7035,30.7861,42.69,93,100,3.02,overcast clouds
