City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2022-20-09/19/22 15:20:51,-20.3428,57.7575,72.21,78,75,10.36
1,Phan Thiet,VN,2022-16-09/19/22 15:16:55,10.9333,108.1,79.18,81,79,8.46
2,Avarua,CK,2022-20-09/19/22 15:20:29,-21.2078,-159.775,73.45,83,100,2.3
3,Kushima,JP,2022-20-09/19/22 15:20:55,31.4583,131.2333,71.2,89,100,9.19
4,Mount Isa,AU,2022-20-09/19/22 15:20:55,-20.7333,139.5,73.17,46,30,0.0
5,Provideniya,RU,2022-20-09/19/22 15:20:56,64.3833,-173.3,40.14,84,100,0.38
6,Raudeberg,NO,2022-20-09/19/22 15:20:58,61.9875,5.1352,52.47,67,68,21.07
7,Chifeng,CN,2022-20-09/19/22 15:20:58,42.2683,118.9636,46.62,31,92,3.91
8,Geraldton,AU,2022-20-09/19/22 15:20:48,-28.7667,114.6,59.41,63,100,11.5
9,Busselton,AU,2022-21-09/19/22 15:21:00,-33.65,115.3333,55.44,71,99,9.6
10,Merauke,ID,2022-21-09/19/22 15:21:01,-8.4667,140.3333,78.98,88,79,13.82
11,Butaritari,KI,2022-21-09/19/22 15:21:01,3.0707,172.7902,81.68,74,84,19.33
12,Monrovia,LR,2022-16-09/19/22 15:16:39,6.3005,-10.7969,80.37,70,55,11.14
13,Taoudenni,ML,2022-21-09/19/22 15:21:02,22.6783,-3.9836,107.53,11,7,7.85
14,Cadillac,US,2022-21-09/19/22 15:21:03,44.2519,-85.4012,67.91,64,40,10.36
15,Viedma,AR,2022-21-09/19/22 15:21:04,-40.8135,-62.9967,46.85,93,100,21.34
16,Cabo San Lucas,MX,2022-21-09/19/22 15:21:04,22.8909,-109.9124,81.52,87,100,8.05
17,Carnarvon,AU,2022-21-09/19/22 15:21:05,-24.8667,113.6333,62.96,55,0,20.54
18,Castro,BR,2022-21-09/19/22 15:21:06,-24.7911,-50.0119,66.78,57,100,5.46
19,Haines Junction,CA,2022-21-09/19/22 15:21:07,60.7522,-137.5108,24.75,93,43,2.3
20,Kodiak,US,2022-21-09/19/22 15:21:07,57.79,-152.4072,54.91,82,100,12.66
21,Arraial Do Cabo,BR,2022-18-09/19/22 15:18:23,-22.9661,-42.0278,78.76,56,0,9.22
22,Ilulissat,GL,2022-21-09/19/22 15:21:08,69.2167,-51.1,33.82,100,75,5.75
23,Clarence Town,AU,2022-21-09/19/22 15:21:09,-32.5833,151.7833,60.85,86,1,2.57
24,Nikolskoye,RU,2022-21-09/19/22 15:21:09,59.7035,30.7861,51.69,92,100,15.82
25,Cape Town,ZA,2022-19-09/19/22 15:19:52,-33.9258,18.4232,64.11,60,75,8.05
26,Sao Jose Da Coroa Grande,BR,2022-21-09/19/22 15:21:12,-8.8978,-35.1478,80.85,59,81,8.41
27,Mar Del Plata,AR,2022-19-09/19/22 15:19:06,-38.0023,-57.5575,55.42,97,100,12.66
28,Aklavik,CA,2022-21-09/19/22 15:21:12,68.2191,-135.0107,39.2,100,40,3.44
29,Whitianga,NZ,2022-21-09/19/22 15:21:13,-36.8333,175.7,58.87,94,98,10.96
30,Prado,BR,2022-21-09/19/22 15:21:14,-17.3411,-39.2208,74.86,61,93,6.82
31,Udachnyy,RU,2022-21-09/19/22 15:21:15,66.4167,112.4,32.58,99,100,6.06
32,Khorinsk,RU,2022-21-09/19/22 15:21:15,52.1657,109.7726,42.73,58,53,2.93
33,Buenos Aires,AR,2022-20-09/19/22 15:20:25,-34.6132,-58.3772,70.0,64,40,8.05
34,Buchanan,LR,2022-21-09/19/22 15:21:16,5.8808,-10.0467,80.89,70,43,10.63
35,Bredasdorp,ZA,2022-21-09/19/22 15:21:17,-34.5322,20.0403,62.04,48,41,14.38
36,Ushuaia,AR,2022-20-09/19/22 15:20:29,-54.8,-68.3,40.66,65,0,3.44
37,Mataura,NZ,2022-21-09/19/22 15:21:18,-46.1927,168.8643,46.47,90,80,2.98
38,Yellowknife,CA,2022-21-09/19/22 15:21:03,62.456,-114.3525,44.56,93,40,5.01
39,Rikitea,PF,2022-21-09/19/22 15:21:20,-23.1203,-134.9692,72.48,76,58,16.71
40,Natal,BR,2022-21-09/19/22 15:21:20,-5.795,-35.2094,88.02,42,20,16.11
41,Thinadhoo,MV,2022-21-09/19/22 15:21:22,0.5333,72.9333,83.21,70,75,8.21
42,Hami,CN,2022-21-09/19/22 15:21:23,42.8,93.45,71.06,15,2,3.38
43,Marsa Matruh,EG,2022-21-09/19/22 15:21:24,31.3525,27.2453,80.02,63,0,17.49
44,Hobart,AU,2022-20-09/19/22 15:20:52,-42.8794,147.3294,46.06,88,80,8.05
45,Le Port,RE,2022-22-09/19/22 15:22:25,-20.9373,55.2919,73.4,77,86,5.64
46,Huai Thalaeng,TH,2022-22-09/19/22 15:22:26,14.997,102.6475,73.76,97,100,8.86
47,Yar-Sale,RU,2022-22-09/19/22 15:22:26,66.8333,70.8333,42.6,87,100,6.78
48,Petropavlovsk-Kamchatskiy,RU,2022-22-09/19/22 15:22:27,53.0452,158.6483,46.99,93,75,4.47
49,Sao Paulo De Olivenca,BR,2022-22-09/19/22 15:22:27,-3.3783,-68.8725,89.29,53,100,3.2
50,Port Alfred,ZA,2022-22-09/19/22 15:22:28,-33.5906,26.891,59.18,87,100,7.0
51,Qaanaaq,GL,2022-22-09/19/22 15:22:28,77.484,-69.3632,27.37,58,99,6.24
52,Saint-Philippe,RE,2022-22-09/19/22 15:22:29,-21.3585,55.7679,72.99,79,36,11.74
53,Punta Arenas,CL,2022-22-09/19/22 15:22:30,-53.15,-70.9167,41.11,81,20,9.22
54,Naryan-Mar,RU,2022-22-09/19/22 15:22:30,67.6713,53.087,49.08,89,75,8.21
55,Klaksvik,FO,2022-22-09/19/22 15:22:31,62.2266,-6.589,50.92,90,95,21.61
56,Niles,US,2022-20-09/19/22 15:20:37,42.0189,-87.8028,75.15,80,40,9.22
57,Xining,CN,2022-22-09/19/22 15:22:31,36.6167,101.7667,49.33,88,100,2.59
58,Matamoros,MX,2022-22-09/19/22 15:22:32,25.5333,-103.25,77.11,57,40,0.0
59,Ribeira Grande,PT,2022-22-09/19/22 15:22:32,38.5167,-28.7,81.0,78,40,14.97
60,Port Elizabeth,ZA,2022-22-09/19/22 15:22:05,-33.918,25.5701,58.32,85,100,17.27
61,Hermanus,ZA,2022-22-09/19/22 15:22:33,-34.4187,19.2345,61.81,65,43,11.14
62,Constitucion,CL,2022-22-09/19/22 15:22:34,-35.3333,-72.4167,52.48,54,96,9.13
63,Khatanga,RU,2022-22-09/19/22 15:22:34,71.9667,102.5,28.26,91,50,12.5
64,Grand Gaube,MU,2022-22-09/19/22 15:22:35,-20.0064,57.6608,72.37,68,1,10.0
65,Camacha,PT,2022-22-09/19/22 15:22:36,33.0833,-16.3333,74.62,61,20,9.22
66,Tiarei,PF,2022-22-09/19/22 15:22:37,-17.5333,-149.3333,71.62,75,9,18.05
67,Khor,RU,2022-22-09/19/22 15:22:38,47.8861,134.9464,36.01,67,28,16.53
68,Kalabo,ZM,2022-22-09/19/22 15:22:38,-14.97,22.6814,90.9,21,81,8.05
69,Santa Cruz Del Sur,CU,2022-22-09/19/22 15:22:39,20.7147,-77.9956,87.57,55,3,10.76
70,Whitehorse,CA,2022-22-09/19/22 15:22:39,60.7161,-135.0538,34.81,86,20,2.3
71,Katsina,NG,2022-22-09/19/22 15:22:40,12.9894,7.6006,85.77,52,99,9.98
72,Katsuura,JP,2022-22-09/19/22 15:22:40,35.1333,140.3,80.38,89,100,28.74
73,Matara,LK,2022-22-09/19/22 15:22:43,5.9485,80.5353,79.27,85,100,10.49
74,Saint-Augustin,CA,2022-22-09/19/22 15:22:44,51.226,-58.6502,48.47,56,100,14.14
75,Ponta Do Sol,PT,2022-22-09/19/22 15:22:45,32.6667,-17.1,77.72,81,60,3.56
76,Severo-Kurilsk,RU,2022-22-09/19/22 15:22:45,50.6789,156.125,53.69,98,100,20.56
77,Te Anau,NZ,2022-22-09/19/22 15:22:46,-45.4167,167.7167,46.87,94,86,2.13
78,Roald,NO,2022-22-09/19/22 15:22:46,62.5833,6.1333,55.76,76,75,9.22
79,Novaci,RO,2022-22-09/19/22 15:22:47,45.1833,23.6667,54.05,74,100,6.53
80,Lompoc,US,2022-22-09/19/22 15:22:48,34.6391,-120.4579,66.34,96,100,3.0
81,Tautira,PF,2022-22-09/19/22 15:22:49,-17.7333,-149.15,77.04,75,21,18.07
82,Iqaluit,CA,2022-21-09/19/22 15:21:47,63.7506,-68.5145,47.93,70,75,12.66
83,Raga,SS,2022-22-09/19/22 15:22:50,8.4596,25.678,81.88,83,52,2.91
84,Tezu,IN,2022-19-09/19/22 15:19:13,27.9167,96.1667,77.4,94,71,4.21
85,Bako,ET,2022-22-09/19/22 15:22:51,5.7833,36.5667,76.82,46,70,5.06
86,Taywarah,AF,2022-22-09/19/22 15:22:51,33.35,64.4167,57.24,17,0,3.85
87,Albany,US,2022-22-09/19/22 15:22:21,42.6001,-73.9662,77.95,81,79,4.41
88,Victoria,HK,2022-19-09/19/22 15:19:51,22.2855,114.1577,88.18,78,53,1.99
89,Alpine,US,2022-22-09/19/22 15:22:52,32.835,-116.7664,65.66,84,100,0.0
90,Coquimbo,CL,2022-19-09/19/22 15:19:24,-29.9533,-71.3436,56.93,76,0,13.8
91,Hasaki,JP,2022-23-09/19/22 15:23:53,35.7333,140.8333,81.28,88,100,30.87
92,Mangrol,IN,2022-23-09/19/22 15:23:54,21.1167,70.1167,80.55,78,3,9.69
93,Anacortes,US,2022-23-09/19/22 15:23:54,48.5126,-122.6127,57.51,89,0,1.01
94,Butte,US,2022-23-09/19/22 15:23:55,39.6499,-121.5677,61.02,89,100,3.44
95,Kapaa,US,2022-23-09/19/22 15:23:55,22.0752,-159.319,78.1,81,75,13.8
96,Ahipara,NZ,2022-23-09/19/22 15:23:08,-35.1667,173.1667,58.68,97,100,5.03
97,Kabanjahe,ID,2022-23-09/19/22 15:23:56,3.1001,98.4908,63.73,92,98,1.36
98,Nambucca Heads,AU,2022-23-09/19/22 15:23:57,-30.65,153.0,60.8,70,0,8.05
99,Griffith,US,2022-23-09/19/22 15:23:57,41.5284,-87.4237,77.14,82,100,9.22
